,title,date,location,type,region
27,El Primer Instinto,1/20/2024, El Corazon,Music,Downtown
28,Gary Janetti,1/20/2024, The Neptune Theatre,Theatre,University District
29,Jammah,1/20/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
30,Saturday Family Concert: The Harmonica Pocket,1/20/2024, Town Hall Seattle,Music,Downtown
31,Seattle Thunderbirds vs. Tri-City Americans,1/20/2024, accesso ShoWare Center,Sports,South
32,"Hokusai: Inspiration and Influence, from The Collection of The Museum of Fine Arts, Boston",Now through 1/21/2024, Seattle Art Museum,Museums,Downtown
33,An Evening with Chris Botti,Now through 1/21/2024, Dimitriou's Jazz Alley,Music,Downtown
34,Bluey’s Big Play,1/20/2024 through 1/21/2024, The Paramount Theatre,Theatre,Downtown
35,Mike Birbiglia: Please Stop the Ride,1/20/2024 through 1/21/2024, The Moore Theatre,Theatre,Downtown
36,Austin Plaine,1/21/2024, Funhouse,Music,Capitol Hill / Central District
37,Seattle Kraken vs. Toronto Maple Leafs,1/21/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
38,Kate Alice Marshall,1/22/2024, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
39,Machine Head,1/22/2024, The Showbox,Music,Downtown
40,Silent Movie Mondays – Safety Last,1/22/2024, The Paramount Theatre,Film & Media Arts,Downtown
41,Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024, Benaroya Hall,Readings & Lectures,Downtown
42,Buck Meek,1/23/2024, The Crocodile,Music,Downtown
43,Curator Tour: Joseph A. Witt Winter Garden,1/23/2024, Washington Park Arboretum,Tours & Attractions,University District
44,Synthwave DJ Dance Party,1/23/2024, High Dive,Music,Fremont / Ballard
45,Wiley from Atlanta,1/23/2024, Funhouse,Music,Capitol Hill / Central District
46,Winter Reverb,1/23/2024, Chop Suey,Music,Capitol Hill / Central District
47,Tribute to John Williams,1/19/2024 through 1/24/2024, Benaroya Hall,Music,Downtown
48,Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024, Dimitriou's Jazz Alley,Music,Downtown
49,Corey Harper,1/24/2024, Barboza,Music,Capitol Hill / Central District
50,DJ Shadow,1/24/2024, The Neptune Theatre,Music,University District
51,Opera on Tap,1/24/2024, The Royal Room,Music,South Seattle
52,PBS – Peter Band Supreme,1/24/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
53,Seattle Kraken vs. Chicago Blackhawks,1/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
54,Silent Planet,1/24/2024, El Corazon,Music,Downtown
55,Stuff You Should Know,1/24/2024, The Paramount Theatre,Theatre,Downtown
56,The Cooking Gene,1/24/2024, Town Hall Seattle,Readings & Lectures,Downtown
57,Aryana Leon,1/25/2024, Barboza,Music,Capitol Hill / Central District
58,Colorworks,1/25/2024, Nectar Lounge,Music,Fremont / Ballard
59,Dar Williams,1/25/2024, The Neptune Theatre,Music,University District
60,Deb Perelman,1/25/2024, Town Hall Seattle,Readings & Lectures,Downtown
61,Emanuel Brown,1/25/2024, Chop Suey,Music,Capitol Hill / Central District
62,James Miles,1/25/2024, Town Hall Seattle,Readings & Lectures,Downtown
63,Madeline Pendleton,1/25/2024, Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
64,October London,1/25/2024, The Showbox,Music,Downtown
65,Tacoma Stars vs. Empire Strykers,1/25/2024, accesso ShoWare Center,Sports,South
66,Dungeons and Drag Queens,1/26/2024, The Crocodile,Theatre,Downtown
67,Global Rhythms: Yungchen Lhamo,1/26/2024, Town Hall Seattle,Music,Downtown
68,Harlem Globetrotters 2024 World Tour –,1/26/2024, accesso ShoWare Center,Sports,South
69,Seattle Kraken vs. St. Louis Blues,1/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
70,Shelf Nunny,1/26/2024, Barboza,Music,Capitol Hill / Central District
71,Super Diamond – The Neil Diamond Tribute Band,1/26/2024, The Showbox,Music,Downtown
72,The Disorderlies,1/26/2024, Slim's Last Chance,Music,South Seattle
73,Compania Nacional de Danza,1/25/2024 through 1/27/2024, Meany Center for the Performing Arts,Dance,University District
74,Metropolis,1/25/2024 through 1/27/2024, Benaroya Hall,Music,Downtown
75,Andy Coe Band,1/26/2024 through 1/27/2024, Nectar Lounge,Music,Fremont / Ballard
76,Harlem Globetrotters,1/27/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
77,Seattle Thunderbirds vs. Everett Silvertips,1/27/2024, accesso ShoWare Center,Sports,South
78,The Budos Band,1/27/2024, The Showbox,Music,Downtown
79,The Human Family,1/27/2024, Opera Center,Music,Queen Anne / Seattle Center
80,Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024, National Nordic Museum,Museums,Fremont / Ballard
81,Hanako O’Leary: Izanami,Now through 1/28/2024, Frye Art Museum,Museums,Capitol Hill / Central District
82,Gage Alumni Show,Now through 1/28/2024, Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center
83,Bohemia,1/18/2024 through 1/28/2024, The Triple Door,Theatre,Downtown
84,Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024, Dimitriou's Jazz Alley,Music,Downtown
85,Celebrate Asia,1/28/2024, Benaroya Hall,Music,Downtown
86,Family Day with Birds Connect Seattle,1/28/2024, National Nordic Museum,Museums,Fremont / Ballard
87,Seattle Kraken vs. Columbus Blue Jackets,1/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
88,Tacoma Stars vs. San Diego Sockers,1/28/2024, accesso ShoWare Center,Sports,South
89,Adira Sharkey,1/29/2024, Tractor Tavern,Music,Fremont / Ballard
90,"Car, The Garden",1/29/2024, The Crocodile,Music,Downtown
91,Cheryl Wheeler,1/30/2024, The Triple Door,Music,Downtown
92,Giantish,1/30/2024, High Dive,Music,Fremont / Ballard
93,Seattle Thunderbirds vs. Prince George Cougars,1/30/2024, accesso ShoWare Center,Sports,South
94,A/political Rocks,Now through 1/31/2024, Henry Art Gallery,Museums,University District
95,Sophia Al-Maria,Now through 1/31/2024, Henry Art Gallery,Museums,University District
96,Jahari Stampley,1/30/2024 through 1/31/2024, Dimitriou's Jazz Alley,Music,Downtown
97,FRAKTURED: Home of the Broken Beat,1/31/2024, High Dive,Music,Fremont / Ballard
98,G3- 25th Anniversary reunion,1/31/2024, The Moore Theatre,Music,Downtown
99,JP Saxe,1/31/2024, The Showbox,Music,Downtown
100,Los Lobos,1/31/2024, The Triple Door,Music,Downtown
101,BabyTron,2/1/2024, The Showbox,Music,Downtown
102,Catalyzing Change with Akuyea Karen Vargas,2/1/2024, Bainbridge Island Museum of Art,Readings & Lectures,West
103,Jamila Woods,2/1/2024, Neumos,Music,Capitol Hill / Central District
104,Jazz is Dead: Blue Note 85,2/1/2024, The Neptune Theatre,Music,University District
105,Michelle Cann,2/1/2024, Meany Center for the Performing Arts,Music,University District
106,Pakt,2/1/2024, Funhouse,Music,Capitol Hill / Central District
107,Erik Walters,2/2/2024, Barboza,Music,Capitol Hill / Central District
108,Memoir,2/2/2024, Benaroya Hall,Music,Downtown
109,Nora En Pure,2/2/2024, Showbox SoDo,Music,Pioneer Square
110,Poolside,2/2/2024, The Showbox,Music,Downtown
111,Tacoma Stars vs. Monterrey Flash,2/2/2024, accesso ShoWare Center,Sports,South
112,Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024, On The Boards,Theatre,Queen Anne / Seattle Center
113,The Winds: Medley of Emotions,2/2/2024 through 2/3/2024, Benaroya Hall,Music,Downtown
114,All Will Suffer,2/3/2024, Funhouse,Music,Capitol Hill / Central District
115,Cold War Kids – 20 Years Tour,2/3/2024, The Moore Theatre,Music,Downtown
116,Mau P,2/3/2024, The Showbox,Music,Downtown
117,Randy Rainbow for President,2/3/2024, The Paramount Theatre,Theatre,Downtown
118,The Delta Bombers,2/3/2024, El Corazon,Music,Downtown
119,Seattle Chamber Music Winter Festival,1/26/2024 through 2/4/2024, Benaroya Hall,Music,Downtown
120,Beethoven Emperor Concerto,2/1/2024 through 2/4/2024, Benaroya Hall,Music,Downtown
121,Sergio Mendes,2/1/2024 through 2/4/2024, Dimitriou's Jazz Alley,Music,Downtown
122,Daniel Tiger’s Neighborhood,2/4/2024, The Paramount Theatre,Theatre,Downtown
123,Lil Skies,2/4/2024, The Showbox,Music,Downtown
124,Criminal,2/5/2024, The Moore Theatre,Theatre,Downtown
125,Neck Deep,2/5/2024, Showbox SoDo,Music,Pioneer Square
126,Kazu Kibuishi with Donna Barba Higuera,2/6/2024, Town Hall Seattle,Readings & Lectures,Downtown
127,Night Lovell,2/6/2024, The Showbox,Music,Downtown
128,Soja,2/6/2024, The Neptune Theatre,Music,University District
129,Kenny Barron Trio,2/6/2024 through 2/7/2024, Dimitriou's Jazz Alley,Music,Downtown
130,Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024, Town Hall Seattle,Readings & Lectures,Downtown
131,The Kills,2/7/2024, Showbox SoDo,Music,Pioneer Square
132,An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024, Town Hall Seattle,Readings & Lectures,Downtown
133,Art and Transformation,2/8/2024, Bainbridge Island Museum of Art,Readings & Lectures,West
134,Eric Bellinger,2/8/2024, The Showbox,Music,Downtown
135,Futurebirds and Nude Party,2/8/2024, The Neptune Theatre,Music,University District
136,Ilana Glazer Live,2/8/2024, The Moore Theatre,Theatre,Downtown
137,Mister Blank,2/8/2024, Nectar Lounge,Music,Fremont / Ballard
138,The Thorn,2/8/2024 through 2/9/2024, The Paramount Theatre,Theatre,Downtown
139,Barry Can’t Swim,2/9/2024, Neumos,Music,Capitol Hill / Central District
140,Dark Star Orchestra,2/9/2024, The Showbox,Music,Downtown
141,Gov’t Mule,2/9/2024, The Moore Theatre,Music,Downtown
142,Mayer Hawthorne,2/9/2024, The Neptune Theatre,Music,University District
143,Moontricks,2/9/2024, The Crocodile,Music,Downtown
144,OBOE / OBOE,2/9/2024, 415 Westlake,Music,Queen Anne / Seattle Center
145,Seattle Boat Show,2/2/2024 through 2/10/2024, Lumen Field,Festivals & Special Events,Pioneer Square
146,Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024, Benaroya Hall,Music,Downtown
147,Art by Design,2/9/2024 through 2/10/2024, Seattle Design Center,Visual Arts & Galleries,Downtown
148,Brazilian Carnaval 2024,2/10/2024, The Crocodile,Music,Downtown
149,Chase Rice,2/10/2024, Showbox SoDo,Music,Pioneer Square
150,Joe “Mr. D”  Dombrowski,2/10/2024, The Moore Theatre,Theatre,Downtown
151,JVNA,2/10/2024, The Showbox,Music,Downtown
152,The Temptations &  The Four Tops,2/10/2024, The Paramount Theatre,Music,Downtown
153,Quixote Nuevo,1/19/2024 through 2/11/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
154,Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
155,Blood Sweat  and Tears,2/8/2024 through 2/11/2024, Dimitriou's Jazz Alley,Music,Downtown
156,Love at the Zoo,2/10/2024 through 2/11/2024, Point Defiance Zoo and Aquarium,Festivals & Special Events,South
157,Scott Bradlee’s Postmodern Jukebox,2/11/2024, The Paramount Theatre,Music,Downtown
158,Tourist and Amtrac,2/11/2024, The Showbox,Music,Downtown
159,Eliades Ochoa,2/13/2024, The Moore Theatre,Music,Downtown
160,K. Wayne Yang,2/13/2024, Town Hall Seattle,Readings & Lectures,Downtown
161,Maddie Zahm,2/15/2024, The Neptune Theatre,Music,University District
162,Cory Wong Winter 2024 Tour,2/16/2024, The Paramount Theatre,Music,Downtown
163,Circa:Humans 2.0,2/15/2024 through 2/17/2024, Meany Center for the Performing Arts,Theatre,University District
164,Jon Batiste,2/17/2024, The Paramount Theatre,Music,Downtown
165,TobyMac Hits Deep 2024,2/17/2024, accesso ShoWare Center,Music,South
166,A Case for the Existence of God,2/2/2024 through 2/18/2024, ACT Theatre,Theatre,Downtown
167,Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024, Seattle Convention Center,Festivals & Special Events,Downtown
168,The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024, Benaroya Hall,Music,Downtown
169,Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024, Dimitriou's Jazz Alley,Music,Downtown
170,Madonna,2/17/2024 through 2/18/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
171,"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024, National Nordic Museum,Museums,Fremont / Ballard
172,Seattle Kraken vs. Detroit Red Wings,2/19/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
173,From Mozart to Matthews,2/20/2024, Benaroya Hall,Music,Downtown
174,Lukas Nelson,2/20/2024, The Showbox,Music,Downtown
175,Mahogany – smARTfilms: Black Luxury,2/20/2024, Bainbridge Island Museum of Art,Film & Media Arts,West
176,"Wu Han, Philip Setzer & David Finckel",2/20/2024, Meany Center for the Performing Arts,Music,University District
177,The Cookers,2/20/2024 through 2/21/2024, Dimitriou's Jazz Alley,Music,Downtown
178,Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024, Benaroya Hall,Music,Downtown
179,Seattle Kraken vs. Vancouver Canucks,2/22/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
180,Funky Friday with F2D,Now through 2/23/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
181,BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024, Benaroya Hall,Music,Downtown
182,Opera Talk: The Making of X,2/23/2024, Opera Center,Readings & Lectures,Queen Anne / Seattle Center
183,Wreckno,2/23/2024, The Showbox,Music,Downtown
184,Kelly Akashi,Now through 2/24/2024, Henry Art Gallery,Museums,University District
185,The Lower Depths,2/6/2024 through 2/24/2024, Erickson Theatre,Theatre,Capitol Hill / Central District
186,Dan Brown Wild Symphony,2/24/2024, Benaroya Hall,Music,Downtown
187,Pink Sweat$,2/24/2024, The Showbox,Music,Downtown
188,Seattle Kraken vs. Minnesota Wild,2/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
189,Small Island Big Song,2/24/2024, Meany Center for the Performing Arts,Music,University District
190,Born With Teeth,2/1/2024 through 2/25/2024, ArtsWest Playhouse and Gallery,Theatre,West Seattle
191,"Once More, Just For You",2/5/2024 through 2/25/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
192,Wintergrass Music Festival,2/22/2024 through 2/25/2024, Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside
193,Seattle Kraken vs. Boston Bruins,2/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
194,Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024, Benaroya Hall,Readings & Lectures,Downtown
195,Playboi Carti,2/28/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
196,Winter Brilliance,Now through 2/29/2024, Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center
197,Seattle Museum Month,2/1/2024 through 2/29/2024, Downtown Seattle,Museums,Downtown
198,Seattle Kraken vs. Pittsburgh Penguins,2/29/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
199,The Human Family,2/29/2024, LANGSTON Seattle,Music,Capitol Hill / Central District
200,Fall Out Boy,3/1/2024, Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center
201,Tacoma Stars vs. Harrisburg Heat,3/1/2024, accesso ShoWare Center,Sports,South
202,Conrad Tao’s Playlist,3/1/2024 through 3/2/2024, Benaroya Hall,Music,Downtown
203,Seattle Kraken vs. Edmonton Oilers,3/2/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
204,Emerald City Comic Con,2/29/2024 through 3/3/2024, Seattle Convention Center,Festivals & Special Events,Downtown
205,Tacoma Stars vs. Harrisburg Heat,3/3/2024, accesso ShoWare Center,Music,South
206,Calidore Quartet & Abeo Quartet,3/8/2024, 415 Westlake,Music,Queen Anne / Seattle Center
207,Holding / Movement,3/8/2024, Benaroya Hall,Music,Downtown
208,Seattle Kraken vs. Winnipeg Jets,3/8/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
209,X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
210,Bach St. John Passion,3/7/2024 through 3/9/2024, Benaroya Hall,Music,Downtown
211,Helene Grimaud,3/9/2024, Meany Center for the Performing Arts,Music,University District
212,Positive Fragmentation,Now through 3/10/2024, Bellevue Arts Museum,Museums,Bellevue / Eastside
213,Antonio M. Gomez: LINEAJES,Now through 3/10/2024, Frye Art Museum,Museums,Capitol Hill / Central District
214,Soren Solkaer: Sort Sol,Now through 3/10/2024, National Nordic Museum,Museums,Fremont / Ballard
215,Luchadora!,2/22/2024 through 3/10/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
216,Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024, Benaroya Hall,Readings & Lectures,Downtown
217,Seattle Kraken vs. Vegas Golden Knights,3/12/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
218,Seattle Kraken vs. Washington Capitals,3/14/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
219,Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024, Meany Center for the Performing Arts,Music,University District
220,Sibelius & Nielsen,3/14/2024 through 3/16/2024, Benaroya Hall,Music,Downtown
221,Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024, accesso ShoWare Center,Sports,South
222,Seattle Kraken vs. Nashville Predators,3/16/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
223,Native Portraiture: Power and Perception,Now through 3/17/2024, Tacoma Art Museum,Museums,South
224,Places to Call Home: Settlements in the West,Now through 3/17/2024, Tacoma Art Museum,Museums,South
225,Nobody Lives Here,Now through 3/17/2024, Wing Luke Museum,Museums,International District
226,Rootabaga Country,3/8/2024 through 3/17/2024, Opera Center,Music,Queen Anne / Seattle Center
227,Seattle Kraken vs. Buffalo Sabres,3/18/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
228,Tacoma Stars vs. Empire Strykers,3/23/2024, accesso ShoWare Center,Sports,South
229,Something’s Afoot,3/1/2024 through 3/24/2024, The 5th Avenue Theatre,Theatre,Downtown
230,One Thousand Pieces,3/15/2024 through 3/24/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
231,Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024, Benaroya Hall,Music,Downtown
232,Seattle Kraken vs. Montreal Canadiens,3/24/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
233,Seattle Kraken vs. Anaheim Ducks,3/26/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
234,Seattle Kraken vs. Anaheim Ducks,3/28/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
235,Tim McGraw,3/29/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
236,Harold and the Purple Crayon,3/23/2024 through 3/30/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
237,Seattle Kraken vs. Dallas Stars,3/30/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
238,Illuminate: Glass Art for Early Learners,Now through 3/31/2024, Museum of Glass,Museums,South
239,Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024, Museum of History & Industry,Museums,Queen Anne / Seattle Center
240,Sanctuary City,3/1/2024 through 3/31/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
241,Stew,3/15/2024 through 3/31/2024, ACT Theatre,Theatre,Downtown
242,Luis Miguel,4/4/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
243,Taylor Raven and Duke Kim in Recital,4/4/2024, Opera Center,Music,Queen Anne / Seattle Center
244,Copland Appalachian Spring,4/4/2024 through 4/6/2024, Benaroya Hall,Music,Downtown
245,La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024, National Nordic Museum,Museums,Fremont / Ballard
246,Beetlejuice,4/2/2024 through 4/7/2024, The Paramount Theatre,Theatre,Downtown
247,Seattle Kraken vs. Arizona Coyotes,4/9/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
248,Seattle Kraken vs. San Jose Sharks,4/11/2024, Climate Pledge Arena,Sports,Queen Anne / Seattle Center
249,The Percussion: Sounds from Home,4/12/2024 through 4/13/2024, Benaroya Hall,Music,Downtown
250,Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024, Seattle Art Museum,Museums,Downtown
251,The Moors,3/22/2024 through 4/14/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
252,Mahler Symphony No. 3,4/11/2024 through 4/14/2024, Benaroya Hall,Music,Downtown
253,Best of the Northwest Spring Show,4/13/2024 through 4/14/2024, Magnuson Park,Festivals & Special Events,University District
254,An Evening with Jinjoo Cho,4/19/2024, 415 Westlake,Music,Queen Anne / Seattle Center
255,Dvorak Symphony No. 6,4/18/2024 through 4/20/2024, Benaroya Hall,Music,Downtown
256,The Seasons’ Canon,4/12/2024 through 4/21/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
257,DRUM TAO 30th Anniversary,4/22/2024, Benaroya Hall,Music,Downtown
258,Disney’s Aladdin,4/24/2024 through 4/28/2024, The Paramount Theatre,Theatre,Downtown
259,Antarctic Symphony,4/25/2024 through 4/28/2024, Benaroya Hall,Music,Downtown
260,Shine On Seattle,1/30/2024 through 4/29/2024, Pioneer Square,Festivals & Special Events,Pioneer Square
261,Noah Geller’s Playlist,5/3/2024 through 5/4/2024, Benaroya Hall,Music,Downtown
262,Broadway Spectacular,5/4/2024, Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center
263,Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024, Frye Art Museum,Museums,Capitol Hill / Central District
264,The Lion Tells His Tale,5/1/2024 through 5/5/2024, Broadway Performance Hall,Theatre,Capitol Hill / Central District
265,"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024, Wing Luke Museum,Museums,International District
266,Fat Ham,4/12/2024 through 5/12/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
267,A Tale of Peter Rabbit,4/25/2024 through 5/12/2024, Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
268,The Lehman Trilogy,4/26/2024 through 5/12/2024, ACT Theatre,Theatre,Downtown
269,The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024, Benaroya Hall,Readings & Lectures,Downtown
270,Mother,5/17/2024, 415 Westlake,Music,Queen Anne / Seattle Center
271,Barber Violin Concerto,5/16/2024 through 5/18/2024, Benaroya Hall,Music,Downtown
272,The Barber of Seville,5/4/2024 through 5/24/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
273,Unriveled,5/10/2024 through 6/2/2024, Seattle Public Theater,Theatre,Wallingford / Greenlake
274,George Balenchine’s Coppelia,5/31/2024 through 6/9/2024, Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
275,Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024, Benaroya Hall,Music,Downtown
276,Beethoven Symphony No. 5,6/13/2024 through 6/15/2024, Benaroya Hall,Music,Downtown
277,Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024, Seattle Art Museum,Museums,Downtown
278,Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024, Benaroya Hall,Music,Downtown
279,"Together Again, Again!",5/31/2024 through 6/23/2024, Seattle Rep,Theatre,Queen Anne / Seattle Center
280,Lip Sync for Our Rights,6/22/2024 through 6/23/2024, Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
281,Company,6/23/2024 through 6/28/2024, The Paramount Theatre,Music,Downtown
282,2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024, Henry Art Gallery,Museums,University District
283,Spring Awakening,6/7/2024 through 6/30/2024, The 5th Avenue Theatre,Theatre,Downtown
284,Girl From The North Country,6/25/2024 through 6/30/2024, The Paramount Theatre,Music,Downtown
285,Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024, National Nordic Museum,Museums,Fremont / Ballard
286,Clue,7/9/2024 through 7/21/2024, The 5th Avenue Theatre,Theatre,Downtown
287,"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024, Wing Luke Museum,Museums,International District
288,Olivia Rodrigo,8/6/2024 through 8/7/2024, Climate Pledge Arena,Music,Queen Anne / Seattle Center
289,Hidden Worlds: The Films of LAIKA,Now through 8/31/2024, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
290,Sound Check! The Music We Make,Now through 9/14/2024, Wing Luke Museum,Museums,International District
291,Raul de Nieves,Now through 9/30/2024, Henry Art Gallery,Museums,University District
292,Frye Salon,Now through 10/27/2024, Frye Art Museum,Museums,Capitol Hill / Central District
293,On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024, Tacoma Art Museum,Museums,South
294,Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026, Bellevue Arts Museum,Museums,Bellevue / Eastside
295,Explore The Market,Ongoing, Pike Place Market,Festivals & Special Events,Downtown
296,Olympic Sculpture Park,Ongoing, Olympic Sculpture Park,Visual Arts & Galleries,Downtown
297,Infinite Worlds of Science Fiction,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
298,"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center
